ai_validation_id,credential_id,model_version,confidence_score,fraud_score,decision,notes
19d61749-f47e-409a-a456-bafd895c3aef,4164f201-5daf-45c7-9a31-10066e0bcf7b,v2.0,0.762,0.199,Review,Tribuo alii claustrum abbas accedo adinventitias taceo congregatio trucido recusandae.
7f0e4dd9-706b-4f99-abe3-32a9d72752ca,8cec06c1-4633-4b93-a708-423ca7df460b,v1.0,0.746,0.089,Review,Taedium aegrotatio aranea abscido tardus viduo tenus traho solus tolero.
3942e200-b5d3-4341-8e4e-608ef6d86040,7f9d0491-efda-4ddd-964a-41dd02cf59c0,v2.0,0.979,0.21,Review,Tener vado tyrannus subseco placeat amicitia alienus cubitum depopulo supra.
c8e8670c-e791-4089-bfaa-0c5b72a154c0,37680001-af66-4b73-abd1-fa4cc5ffbfc4,v2.0,0.905,0.2,Review,Aetas cicuta cumque stips cum acidus aedificium cohaero conscendo inflammatio.
47ffd7ce-64aa-4033-8c4e-b78b18135e25,809584fa-32dd-4d0e-9b07-6cf28d823f1f,v2.0,0.886,0.13,Approve,Amor ratione titulus neque vinitor sublime aequus absconditus vis amaritudo.
bf8d2edd-adae-45e2-a3b5-f990bfcf8a5a,da4381bb-35d3-4caa-bdcf-64583cfc416c,v1.1,0.84,0.028,Approve,Eos ustulo coepi statim aestus amplexus desino turbo thalassinus carbo.
9fd5a508-88f7-4483-b40f-b24dfe3d4c71,bb43964c-57d8-4053-876f-9bf35b41d40f,v2.0,0.701,0.207,Review,Suffragium demulceo admitto arbustum aequus sulum culpa sopor claustrum bene.
9441b52f-2318-474e-b139-b03f52735c92,8bbf84ce-5d03-4773-8850-e820ee14fb94,v1.0,0.983,0.097,Approve,Candidus urbanus cicuta cui thymbra clarus vetus argumentum cultellus cena.
16374181-505e-410b-a402-fd3e12b00c6d,3e86d1fb-fc97-499b-bbdc-d75bc861ff33,v1.1,0.788,0.252,Reject,Ventus acerbitas comminor nostrum demonstro turbo caelum inflammatio rerum bonus.
07b82cb9-1c1d-4172-88f8-5d4b1d3c65c6,a24d3603-7373-4051-bbdd-0cb169795ca5,v1.0,0.989,0.078,Approve,Volva ademptio pax bestia contabesco cupressus socius tempore annus audeo.
049656b8-b1e9-4636-8987-70e636fc3395,ba88f40d-e71e-42be-9c21-819393de613a,v1.1,0.875,0.239,Review,Valeo suppellex desolo usque deduco defetiscor occaecati trado quibusdam itaque.
10fc870b-bc26-4787-ad47-af8db85e540d,157f0497-ca84-4f97-aecd-2b9f451177f8,v1.1,0.984,0.07,Approve,Aequitas repellendus statim est carbo delectatio summopere canonicus traho cognatus.
afec5bce-6126-467e-bb4a-5eda88e63755,4c27606a-057d-47f1-98c8-c147bb1c5d34,v2.0,0.757,0.08,Review,Thymum clam ipsam magnam eius animadverto aranea veritatis terga suppellex.
c3f07cda-a038-46c7-825c-085543ec657a,1a48d614-9f5f-4c11-a69b-d5469ecda529,v1.0,0.83,0.219,Review,Cernuus cuius derideo articulus ciminatio vaco appello trans quo supplanto.
aa539f4e-722e-4981-a532-5751a77baa71,7d4409ce-1789-4fd4-91ee-29f8ae22c932,v1.1,0.888,0.145,Approve,Adopto cernuus tamisium culpa cometes ambulo a audio dolorem terra.
21831820-4d45-4d0d-b17e-2738a8a268d5,78a9b802-e4c5-4f69-9053-d66139c6e66b,v1.1,0.837,0.251,Reject,Adipiscor sumo cetera optio suffragium vehemens advenio nostrum tumultus deleo.
e365c1a1-06d4-41d8-90d2-7426c06c8990,8c4b3a99-8da1-4900-a2c0-39399d7bf20c,v1.0,0.711,0.015,Review,Abduco confugo caritas vilicus talio agnitio comedo via ambitus trepide.
c82d1aa3-faa2-484a-a990-025dfc1e41af,da420273-c90b-4c2a-816a-ebc8f56090da,v1.0,0.873,0.036,Approve,Contigo aperio cerno maiores turbo usitas combibo mollitia testimonium venustas.
b1903020-8afd-42e2-8380-15c079d93ab6,39456ac5-b81d-4a9e-a792-25ac8f9afb99,v1.0,0.71,0.111,Review,Vallum villa damno curis verbum cotidie cotidie video vobis spero.
a4345959-9c19-4508-9816-a487b39ee5af,3cb6a580-ad51-4f46-b4c6-d81048eb569b,v1.0,0.782,0.09,Review,Alii ancilla stips adicio depulso maiores cresco via recusandae tutamen.
25d68dd4-03c4-4fc6-9f64-948cb98a03ab,a81b45df-ad5a-4c94-9445-f11913a922da,v2.0,0.877,0.017,Approve,Succurro spes abeo aptus aspernatur catena summisse utique sophismata auctor.
e5b7a235-7a15-40ad-8884-e310d0331633,8de9388b-6110-4a7f-a3e5-ad601e32a6d3,v1.0,0.754,0.205,Review,Voco cibo temptatio aperio virga spes subvenio vinco coadunatio censura.
d0bf2b45-eb28-4a7c-878e-4900b4ba98d4,9516aae7-1f58-4c10-948e-fb02798eecb4,v1.1,0.877,0.145,Approve,Amiculum demo tero reiciendis sequi xiphias administratio amicitia contigo deserunt.
064f9889-2bef-4e22-b4cf-abcf8c7daec3,511ad87f-51ef-4c00-b269-c73f770fc468,v1.0,0.708,0.075,Review,Viscus creo desidero uredo damnatio demonstro defungo amor bellicus reiciendis.
470cb548-9059-406f-9984-949dea3614e2,5fd3ade6-b57e-4c6a-bb40-716bf3efbb2a,v2.0,0.723,0.193,Review,Corporis tepidus corpus abbas admoveo unde tenetur audax cur ipsam.
75296e3e-ff4a-4d71-ae2b-777e7e004cc9,c14919c6-13ad-404b-8470-5fbb53d230df,v1.0,0.942,0.296,Reject,Traho cupressus ullam super beneficium correptius solum ustulo demens sustineo.
