ai_validation_id,credential_id,model_version,confidence_score,fraud_score,decision,notes
236b099c-baae-42f7-b189-3e703a41e014,a2bf5ca1-cf2e-4b67-a46e-4cae1720e7c4,v2.0,0.762,0.199,Review,Tribuo alii claustrum abbas accedo adinventitias taceo congregatio trucido recusandae.
6af958b3-b1e0-46be-a1a7-eb1c2d2ceb18,b0319d7d-08bf-4709-8ca4-cf892f5c040a,v1.0,0.746,0.089,Review,Taedium aegrotatio aranea abscido tardus viduo tenus traho solus tolero.
5f96ad4e-f421-4b38-bbf4-504fa62306ee,69ce1560-da19-4aed-b189-104ba5fae59e,v2.0,0.979,0.21,Review,Tener vado tyrannus subseco placeat amicitia alienus cubitum depopulo supra.
f0155399-26d9-4f17-9e6c-9f17d456f9cd,1e3070d2-1dd7-4b14-b262-3e20aae62833,v2.0,0.905,0.2,Review,Aetas cicuta cumque stips cum acidus aedificium cohaero conscendo inflammatio.
06e2860e-b243-46d9-9202-777d2c7f6074,8ecd1585-1a6a-4d13-b986-4b148c579ac8,v2.0,0.886,0.13,Approve,Amor ratione titulus neque vinitor sublime aequus absconditus vis amaritudo.
e3298c36-7fe8-459f-a21c-57a9df92ab57,07587dbb-14eb-41a1-b17c-f7b72cf20618,v1.1,0.84,0.028,Approve,Eos ustulo coepi statim aestus amplexus desino turbo thalassinus carbo.
a9fb6044-31a9-47e6-b9e0-cdbcae978fd8,b50a7cd0-baaf-4bc7-b50a-4f7f5e0fba01,v2.0,0.701,0.207,Review,Suffragium demulceo admitto arbustum aequus sulum culpa sopor claustrum bene.
c79684ff-ab0a-4f55-a18a-4c14fd096590,24463b40-134c-4cd7-a7df-b3831f40c0bb,v1.0,0.983,0.097,Approve,Candidus urbanus cicuta cui thymbra clarus vetus argumentum cultellus cena.
5632d680-c770-46e8-8140-0566ef7f7684,92543861-75e6-4dd3-a725-65531c0ebd94,v1.1,0.788,0.252,Reject,Ventus acerbitas comminor nostrum demonstro turbo caelum inflammatio rerum bonus.
4ea6535f-ee60-426e-884d-05121a44a048,7dd99139-ee77-40b1-b49b-b350fbce4d31,v1.0,0.989,0.078,Approve,Volva ademptio pax bestia contabesco cupressus socius tempore annus audeo.
3bcbc930-28c5-44f1-9c64-bc3c946420d6,99c322f6-ec4c-402d-a394-b66ed6d955b4,v1.1,0.875,0.239,Review,Valeo suppellex desolo usque deduco defetiscor occaecati trado quibusdam itaque.
3ae902ee-7786-4ac1-87a0-1e077321b33a,b74b06f6-eda0-48c1-84e7-510a7ce577b6,v1.1,0.984,0.07,Approve,Aequitas repellendus statim est carbo delectatio summopere canonicus traho cognatus.
88f88d86-ae65-4097-8acb-c9b38a179aa5,fc30d1d1-31f8-4a59-8811-056827c90b20,v2.0,0.757,0.08,Review,Thymum clam ipsam magnam eius animadverto aranea veritatis terga suppellex.
ad1307e4-1d2c-491e-8bab-5c52c26e99be,e01a64b8-91b5-49a0-a604-52c9a85ec479,v1.0,0.83,0.219,Review,Cernuus cuius derideo articulus ciminatio vaco appello trans quo supplanto.
