eventId,eventTs,action,actorId,actorRole,targetType,targetId,ipHash,userAgentHash,velocity_1m,velocity_5m,velocity_15m,failures_15m,failure_ratio_15m,token_abuse_15m,access_denied_15m,security_alerts_15m,unique_targets_15m,stepup_challenges_15m,stepup_failures_15m,stepup_locked_24h,actor_age_hours,is_first_seen_actor,hour_of_day,day_of_week,telemetry_velocity_1m,telemetry_velocity_5m,telemetry_velocity_15m,telemetry_401_15m,telemetry_403_15m,telemetry_429_15m,telemetry_5xx_15m,telemetry_failure_ratio_15m,telemetry_rate_limit_hits_15m,telemetry_unique_routes_15m,telemetry_public_verify_hits_15m,telemetry_avg_duration_15m,seedSignals,labelSource,reviewStatus,reviewReasonCode,weakLabel
4e229338-53b7-411c-869b-4f416022940d,2026-03-21T18:59:00.954Z,SECURITY_ALERT,user_3BGd3UrjUfJ9Dd6bR9MVLJuoluK,ADMIN,StepUpChallenge,dbd97465-9183-4089-8c67-b8918e8f1463,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,,weak_seed,,,1
2e6a18a0-0c19-4b89-9f9d-09ad574d80f8,2026-03-21T18:59:35.209Z,ACCESS_GRANTED,user_3BGd3UrjUfJ9Dd6bR9MVLJuoluK,ADMIN,StepUpChallenge,dbd97465-9183-4089-8c67-b8918e8f1463,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,1,1,1,1,1,0,0,1,1,1,0,0,0.009515277777777777,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,high_failure_ratio_15m,weak_seed,,,0
7afa0ec2-8d94-4e0b-8cd0-db857c4909f8,2026-03-21T18:59:35.485Z,USER_APPROVED,user_3BGd3UrjUfJ9Dd6bR9MVLJuoluK,ADMIN,User,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,,,2,2,2,1,0.5,0,0,1,1,1,0,0,0.009591944444444445,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,high_failure_ratio_15m,weak_seed,,,0
b6a3a79a-c760-49d3-85f0-2b597b6878ba,2026-03-21T19:01:26.800Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeA01qo4PdpqjizYx6z7jukwH,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,future_security_followup_15m,future_followup,,,1
3093bd63-d59e-4b7a-809b-b1e1027d622d,2026-03-21T19:02:09.529Z,SECURITY_ALERT,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,StepUpChallenge,b8ef4358-a924-4503-9de1-060204985030,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,1,1,1,0,0,0,0,0,1,1,0,0,0.011869166666666667,1,19,6,0,1,1,0,0,0,0,0,0,1,0,231,future_security_followup_15m,future_followup,,,1
da449720-c811-4b3e-baa8-6657a63b0c83,2026-03-21T19:02:27.038Z,ACCESS_GRANTED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,StepUpChallenge,b8ef4358-a924-4503-9de1-060204985030,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,1,2,2,1,0.5,0,0,1,2,1,0,0,0.016732777777777777,1,19,6,0,1,1,0,0,0,0,0,0,1,0,231,high_failure_ratio_15m|future_security_followup_15m,future_followup,,,1
7e75247c-4a77-4686-a9e8-c093006bb36a,2026-03-21T19:02:27.972Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeHdjPX3ScmYxr4whoxM5qx3R,,,2,3,3,1,0.3333333333333333,0,0,1,2,1,0,0,0.01699222222222222,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,future_security_followup_15m,future_followup,,,1
1c211eb4-00ee-4a62-8756-443545d1a00e,2026-03-21T19:02:28.329Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeHndqbrdljyajvk67ZM19oLi,,,3,4,4,1,0.25,0,0,1,3,1,0,0,0.01709138888888889,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,future_security_followup_15m,future_followup,,,1
3ccd648b-48c9-4147-968b-e5e6954bee1b,2026-03-21T19:02:28.645Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeHoZEELfuxDBDN1zA9z20YJA,,,4,5,5,1,0.2,0,0,1,4,1,0,0,0.017179166666666666,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,future_security_followup_15m,future_followup,,,1
7144790e-0ed6-4f81-af88-cb60261bee23,2026-03-21T19:02:29.829Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeHjutAkoJQ4hYb61OJsFFEFV,,,5,6,6,1,0.16666666666666666,0,0,1,5,1,0,0,0.017508055555555554,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,wide_target_spread_15m|new_actor_high_velocity_5m|future_security_followup_15m,future_followup,,,1
a78a70f4-73e2-4b53-99c4-0f25336f5fbd,2026-03-21T19:02:30.494Z,USER_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,User,user_3BGeHylOgLCZTWEq5SqNJhudUm8,,,6,7,7,1,0.14285714285714285,0,0,1,6,1,0,0,0.01769277777777778,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,wide_target_spread_15m|new_actor_high_velocity_5m|future_security_followup_15m,future_followup,,,1
ba9a47bd-d67e-439d-ad9b-829be094aa26,2026-03-21T19:05:14.599Z,SECURITY_ALERT,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,StepUpChallenge,1ac42f0e-32a8-4175-bb45-81a955e1354f,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,0,8,8,1,0.125,0,0,1,7,2,0,0,0.0632775,1,19,6,0,1,2,0,0,0,0,0,0,2,0,1780,wide_target_spread_15m|new_actor_high_velocity_5m|future_security_followup_15m,future_followup,,,1
11a7f963-a9e1-4121-85d3-7f0fc7908f66,2026-03-21T19:06:00.178Z,ACCESS_GRANTED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,StepUpChallenge,1ac42f0e-32a8-4175-bb45-81a955e1354f,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,1,9,9,2,0.2222222222222222,0,0,2,8,2,0,0,0.07593833333333333,1,19,6,0,1,2,0,0,0,0,0,0,2,0,1780,wide_target_spread_15m|new_actor_high_velocity_5m|future_security_followup_15m,future_followup,,,1
9549768b-7cd8-4a9f-8946-ad4e71a338a3,2026-03-21T19:06:00.780Z,CREDENTIAL_CREATED,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,Credential,8d08534a-2f82-42af-a040-1e572e02cc53,,,2,10,10,2,0.2,0,0,2,8,2,0,0,0.07610555555555555,1,19,6,0,0,0,0,0,0,0,0,0,0,0,0,wide_target_spread_15m|new_actor_high_velocity_5m|future_security_followup_15m,future_followup,,,1
99632521-a62a-4422-bbf5-669fa4a5669f,2026-03-21T19:16:04.056Z,SECURITY_ALERT,user_3BGdb9xWkqfOdwu8jxCRrvdDtnv,INSTITUTION,StepUpChallenge,e9a3d99c-32b2-429f-8624-487d2e09519a,,725648e1561fe5294d26c1e1c27bbd44594baf732e66f8874a36c9892ff92640,0,0,11,2,0.18181818181818182,0,0,2,9,3,0,0,0.24368222222222222,1,19,6,0,0,2,0,0,0,1,0.5,0,2,0,2295,wide_target_spread_15m|gateway_failure_ratio_15m|future_security_followup_15m,future_followup,,,1
